material_category,weight_kg,rate_inr,total_inr,is_anomaly
other,108.31684096475126,11.84,1282.4,0
crt,86.08430074972438,22.7,1953.81,0
crt,127.91080315744995,29.07,3718.63,0
lcd_panel,40.143516835821934,35.34,1418.76,0
mixed_plastic,0.5,11.78,5.89,0
pcb,119.63765946387963,133.78,16005.14,0
motor,17.611006569308643,37.24,655.85,0
pcb,57.51201352170088,94.54,5436.96,0
cable,0.9528256874926626,94.27,89.83,0
battery,137.86584219915818,78.75,10856.88,0
magnet_assembly,60.693869977010515,43.99,2670.18,0
motor,60.13659039497199,43.6,2622.07,0
pcb,6.390596792569966,627.28,4008.68,1
other,44.31006285440857,9.86,436.86,0
motor,34.264708090213716,59.65,2043.77,0
crt,19.503281975883425,213.42,4162.35,1
mixed_plastic,49.16522947751151,11.94,586.97,0
cable,7354.0567406371865,80.0,588324.54,1
battery,52.508334956100896,69.57,3652.96,0
crt,23.882950243946894,33.88,809.16,0
crt,76.35741419414735,31.42,2399.33,0
magnet_assembly,93.39310960624432,69.36,6477.39,0
other,67.92144784194016,10.71,727.74,0
mixed_plastic,34.22875799732187,16.53,565.68,0
battery,33.75635484433745,59.32,2002.51,0
motor,0.5,35.56,17.78,0
cable,54.26139868215122,59.41,3223.56,0
crt,46.24501780106563,23.33,1079.11,0
motor,10.078561525318449,42.91,432.5,0
battery,48.97573301777135,66.99,3280.67,0
cable,37.38934664334977,93.54,3497.52,0
crt,60.72201710359013,35.91,2180.79,0
battery,56.281254277059254,81.44,4583.8,0
motor,92.83394990272978,53.33,4951.13,0
crt,80.98321990926966,23.78,1926.01,0
lcd_panel,57.1645604547387,50.79,2903.21,0
magnet_assembly,4.806005711257612,69.7,334.97,0
cable,17.046525214353835,62.51,1065.6,0
magnet_assembly,40.02521499310075,42.68,1708.08,0
other,3.478293988615924,8.96,31.16,0
battery,5252.846824368766,70.0,367699.28,1
battery,59.640010135889824,60.34,3598.46,0
cable,91.56439070065807,90.37,8274.98,0
mixed_plastic,71.20372476350506,14.35,1021.93,0
cable,67.51605605745243,94.77,6398.8,0
crt,65.33007169891457,27.08,1769.42,0
cable,74.59778556125512,91.9,6855.29,0
battery,70.38732308969315,76.72,5400.23,0
magnet_assembly,49.04031580468873,48.06,2357.0,0
other,16.83561146258083,8.43,142.0,0
lcd_panel,14.753794203917039,38.11,562.33,0
lcd_panel,2.238314341591085,51.41,115.08,0
crt,35.6340603077483,32.96,1174.61,0
pcb,62.086172672754586,84.57,5250.77,0
cable,6237.156216281068,80.0,498972.5,1
other,93.50664927258349,9.01,842.83,0
battery,78.74610513022986,64.8,5103.07,0
motor,67.04185948979983,41.25,2765.25,0
other,34.42002230945441,9.12,313.83,0
lcd_panel,8.744312228540068,36.74,321.3,0
mixed_plastic,138.85422326757714,16.83,2337.46,0
other,57.08300167064193,10.18,581.23,0
lcd_panel,26.996488528284598,41.19,1111.88,0
motor,94.62046765714908,40.54,3835.66,0
crt,65.9628675431877,29.34,1935.06,0
pcb,51.41957122142002,120.39,6190.44,0
mixed_plastic,0.5,14.52,7.26,0
lcd_panel,28.087390530936204,52.36,1470.72,0
crt,13.587026322868645,27.19,369.45,0
lcd_panel,77.80660993320562,41.6,3236.79,0
cable,31.23481362703647,73.35,2291.04,0
motor,5983.810420699146,50.0,299190.52,1
mixed_plastic,9577.364934747151,15.0,143660.47,1
cable,8.920574984321277,57.37,511.78,0
magnet_assembly,15.445361344171992,58.01,896.01,0
battery,33.07757595896882,83.96,2777.24,0
crt,87.12362443964324,22.3,1943.21,0
battery,0.5,67.33,33.67,0
mixed_plastic,26.100359371860513,13.62,355.42,0
crt,43.226935926641595,33.43,1444.89,0
motor,18.49728521095617,53.6,991.48,0
motor,15.129010361229476,53.09,803.19,0
