material_category,condition,weight_kg,target_rate_inr
magnet_assembly,damaged,71.74972641925194,43.16
pcb,good,25.382809216066562,122.27
battery,damaged,26.7648746390594,44.57
motor,good,28.99320771287409,47.67
pcb,good,49.02179290023737,129.48
magnet_assembly,good,64.22205268489728,57.59
cable,mixed,0.5,56.26
lcd_panel,damaged,94.7769444624735,30.96
magnet_assembly,damaged,35.273162346258346,40.69
lcd_panel,damaged,65.02258535362776,29.81
motor,good,31.54137127303267,53.82
lcd_panel,good,52.666291140344974,49.0
mixed_plastic,damaged,72.57856954220543,11.53
lcd_panel,damaged,51.020026723253935,32.28
other,good,4.777907812737325,10.7
crt,good,55.37715530512088,30.41
crt,good,91.23998089983803,31.97
battery,mixed,87.25120476464795,58.12
magnet_assembly,mixed,14.146592674827922,46.45
mixed_plastic,damaged,45.52048717972234,10.77
motor,mixed,8.486804939380718,42.13
crt,damaged,46.96785019887258,19.42
magnet_assembly,good,25.404969623307572,60.95
pcb,good,63.315697619557184,125.46
cable,damaged,18.718086948006423,57.67
cable,mixed,66.95772279163737,65.58
pcb,good,86.61608470808297,128.47
cable,mixed,63.15004438638738,64.63
magnet_assembly,mixed,21.917876244905905,44.74
other,mixed,36.89351413608927,8.72
magnet_assembly,good,0.5,63.23
mixed_plastic,mixed,167.74653665925138,11.47
mixed_plastic,damaged,60.302015628910574,11.89
magnet_assembly,damaged,47.02216336935331,39.61
crt,mixed,32.329359070959484,23.07
crt,good,46.6333965927529,29.15
motor,good,95.71291258060083,49.28
motor,good,80.07732130747097,52.24
motor,good,70.49694929486412,48.63
motor,damaged,71.73954764969744,38.58
cable,good,0.5,83.74
cable,mixed,52.742518992241095,62.36
magnet_assembly,mixed,34.469424040935436,43.36
magnet_assembly,damaged,14.579505046846052,44.35
magnet_assembly,damaged,59.098397384165175,42.36
lcd_panel,mixed,102.28571017129713,40.19
battery,mixed,0.5,53.89
pcb,mixed,97.62909024454561,93.71
crt,damaged,59.051530779954994,18.06
other,damaged,83.89605730306556,6.01
